,county,state,date,latitude,longitude,season,temperature_high,temperature_low,cloud_cover,precip_intensity,visibility,conditions,wind_speed,Precip Intensity Groups,Visibility Classification (mi),Cloud Cover Classification (%)
54,Yakima County,Washington,2014-06-08,46.85524,-121.3034,Spring,72.8,55.7,23.0,0.0,9.9,Partially cloudy,16.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
55,Yakima County,Washington,2014-09-15,46.73581,-121.3201,Summer,85.4,41.8,0.0,0.0,9.9,Clear,9.0,light: 0 to 0.1,Clear: 6.21 to 12.43,
56,Yakima County,Washington,2018-12-31,46.51122,-121.2719,Winter,41.5,21.7,9.9,0.0,9.9,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
57,Yakima County,Washington,2019-06-22,46.64558,-121.2323,Summer,76.5,50.3,13.5,0.0,9.4,Clear,18.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
58,Wood County,Wisconsin,2012-02-18,44.42315,-89.7793,Winter,33.2,17.6,25.2,0.017,9.7,"Snow, Rain, Partially cloudy",12.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
61,Wayne County,New York,2003-09-20,43.27314,-76.89331,Fall,68.1,50.1,47.3,0.041,9.9,"Rain, Partially cloudy",15.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
64,Tioga County,New York,2001-01-01,42.40489,-76.17366,Winter,20.3,7.8,62.6,0.001,6.5,"Snow, Partially cloudy",15.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
66,Schuyler County,New York,1999-09-13,42.32724,-76.75318,Fall,76.4,49.2,35.1,0.011,9.9,"Rain, Partially cloudy",19.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
69,Putnam County,New York,1980-08-21,41.5036,-73.7171,Summer,70.7,62.9,91.3,0.001,10.8,"Rain, Overcast",16.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
72,Orleans County,New York,1992-05-01,43.26886,-78.28014,Spring,54.7,43.3,93.3,0.075,12.2,"Rain, Overcast",12.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
75,Ontario County,New York,2020-10-15,42.67993,-77.29334,Fall,76.6,52.0,38.5,0.118,9.7,"Rain, Partially cloudy",16.6,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
76,Orange County,New York,1994-09-14,41.26455,-74.1468,Fall,77.1,67.4,91.8,0.002,6.3,"Rain, Overcast",10.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
78,Orleans County,New York,1997-04-15,43.22649,-78.3253,Spring,54.7,29.0,16.2,0.0,13.2,Clear,17.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
79,Orleans County,New York,2002-08-22,43.2265,-78.1946,Summer,81.3,65.2,83.1,0.171,8.3,"Rain, Partially cloudy",18.2,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
80,Orleans County,New York,2003-01-15,43.34806,-78.23962,Winter,21.0,11.4,91.5,0.021,9.0,"Snow, Overcast",23.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
83,Otsego County,New York,2004-05-31,42.32921,-75.3811,Spring,56.0,47.0,63.8,0.438,8.1,"Rain, Partially cloudy",15.0,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
85,Putnam County,New York,2020-05-17,41.49887,-73.59659,Spring,67.5,51.7,66.2,0.0,9.9,Partially cloudy,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
89,Rockland County,New York,2015-08-06,41.23296,-74.11488,Summer,79.9,56.5,7.8,0.0,9.9,Clear,9.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
90,St. Lawrence County,New York,2009-03-18,44.62185,-75.58825,Spring,56.7,39.3,65.2,0.01,10.5,"Rain, Partially cloudy",12.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
96,Steuben County,New York,2012-11-15,42.33473,-77.29253,Fall,45.5,24.1,5.5,0.0,9.1,Clear,4.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
97,Steuben County,New York,2022-05-17,42.13954,-77.15908,Spring,63.9,47.3,75.4,0.0,9.6,Partially cloudy,19.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
98,Tioga County,New York,2001-10-22,42.1174,-75.64853,Fall,55.1,46.1,74.8,0.091,9.1,"Rain, Partially cloudy",8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
99,Ulster County,New York,1997-05-23,41.66955,-74.0863,Spring,67.2,46.9,43.7,0.0,25.5,Partially cloudy,16.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
108,Warren County,New York,2006-03-31,43.66344,-73.56614,Spring,73.0,26.7,2.0,0.0,9.7,Clear,15.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
109,Warren County,New York,2006-11-26,43.42645,-73.741,Summer,52.2,23.6,38.4,0.0,9.5,Partially cloudy,8.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
112,Warren County,New York,2018-08-07,43.55915,-73.34116,Summer,84.7,68.1,35.3,0.371,8.8,"Rain, Partially cloudy",8.1,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
119,Washington County,New York,2015-06-17,43.35086,-73.34347,Spring,73.2,56.4,14.0,0.0,9.9,Clear,11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
120,Washington County,New York,2019-06-12,43.56058,-73.40212,Summer,74.8,46.0,0.0,0.0,9.5,Clear,9.0,light: 0 to 0.1,Clear: 6.21 to 12.43,
121,Onondaga County,New York,2017-10-06,43.00972,-76.10047,Summer,65.1,55.0,80.3,0.059,9.8,"Rain, Partially cloudy",6.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
123,Niagara County,New York,2002-09-21,43.19501,-78.54224,Fall,78.7,64.2,83.3,0.034,9.4,"Rain, Partially cloudy",18.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
129,Franklin County,New York,2022-10-25,44.43419,-74.18324,Fall,71.9,41.9,88.9,0.0,6.5,Partially cloudy,19.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
137,Clinton County,New York,2005-02-15,44.66399,-73.73606,Winter,40.8,34.4,92.1,0.083,9.6,"Rain, Overcast",15.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
139,Delaware County,New York,2005-10-01,42.0837,-75.38025,Fall,70.1,44.9,0.0,0.02,9.9,Rain,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,
140,Dutchess County,New York,1985-05-01,41.97341,-73.66616,Spring,76.1,53.6,87.6,0.0,16.1,Partially cloudy,14.9,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
141,Dutchess County,New York,2007-07-15,41.59773,-73.64642,Summer,85.9,65.3,34.7,0.175,7.8,"Rain, Partially cloudy",11.3,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
142,Dutchess County,New York,2010-02-15,41.94512,-73.87915,Summer,41.2,30.7,62.8,0.003,9.3,"Snow, Rain, Partially cloudy",8.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
143,Dutchess County,New York,2013-11-09,41.87219,-73.55858,Fall,46.2,33.8,64.3,0.0,9.9,Partially cloudy,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
144,Dutchess County,New York,2018-03-18,41.60511,-73.59506,Spring,38.5,17.0,7.4,0.0,9.9,Clear,14.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
149,Essex County,New York,2006-07-10,43.81495,-74.00528,Summer,81.9,54.0,24.0,0.023,6.1,"Rain, Partially cloudy",10.3,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Sunny: 6.25 to 25
150,Essex County,New York,2010-08-06,44.22388,-73.87529,Summer,71.3,47.9,34.6,0.0,9.9,Partially cloudy,13.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
151,Essex County,New York,2022-05-30,44.48551,-73.52519,Summer,81.7,52.3,19.1,0.0,9.9,Clear,10.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
156,Hamilton County,New York,2010-09-24,43.30679,-74.15429,Fall,84.6,56.6,44.5,0.0,9.5,Partially cloudy,13.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
157,Hamilton County,New York,2014-07-11,43.46181,-74.23166,Summer,78.4,53.2,6.7,0.0,9.6,Clear,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
158,Monroe County,New York,2005-07-27,43.2696,-77.664,Summer,71.7,60.0,90.8,0.834,7.7,"Rain, Overcast",14.8,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
166,Warren County,Ohio,2015-01-22,39.13595,-84.17227,Spring,37.1,33.2,99.2,0.0,9.9,Overcast,8.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
167,Union County,Ohio,1983-10-31,40.47326,-83.44371,Fall,59.9,37.2,80.6,0.0,12.2,Partially cloudy,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
168,Tuscarawas County,Ohio,1983-11-28,40.28488,-81.58699,Fall,62.1,39.2,86.0,0.985,7.5,"Rain, Partially cloudy",20.8,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
169,Trumbull County,Ohio,1997-11-01,41.1462,-80.62124,Winter,55.2,47.9,92.8,0.238,6.0,"Rain, Overcast",12.6,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
172,Scioto County,Ohio,1977-10-31,38.77727,-83.18179,Fall,66.8,50.1,77.1,0.0,9.9,Partially cloudy,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
173,Sandusky County,Ohio,2017-10-28,41.29247,-83.05098,Fall,41.9,38.2,85.2,0.127,9.5,"Rain, Partially cloudy",15.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
174,Scioto County,Ohio,1982-07-21,38.68516,-83.12916,Summer,83.0,62.0,25.0,0.0,7.7,Partially cloudy,8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
175,Scioto County,Ohio,1986-10-01,38.74899,-82.97854,Fall,83.9,68.1,70.0,0.012,7.3,"Rain, Partially cloudy",13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
176,Scioto County,Ohio,1990-10-01,38.83628,-83.12873,Fall,71.0,50.1,51.7,0.0,7.1,Partially cloudy,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
177,Scioto County,Ohio,2004-06-25,38.79215,-82.93085,Summer,71.7,64.5,51.0,0.213,4.4,"Rain, Partially cloudy",5.8,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
178,Scioto County,Ohio,2010-07-06,38.69322,-83.12891,Summer,93.0,68.0,13.9,0.0,5.6,Clear,4.7,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Sunny: 6.25 to 25
179,Scioto County,Ohio,2014-02-14,38.9506,-83.02551,Winter,41.8,30.3,51.4,0.0,8.6,Partially cloudy,14.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
180,Stark County,Ohio,1976-08-10,40.79362,-81.32337,Fall,83.6,55.2,39.4,0.0,6.8,Partially cloudy,7.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
181,Stark County,Ohio,1978-07-01,40.67979,-81.51075,Summer,71.0,62.0,96.1,0.0,9.1,Overcast,13.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
182,Stark County,Ohio,1978-08-01,40.7343,-81.15622,Summer,81.1,60.2,50.0,0.0,7.1,Partially cloudy,12.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
183,Stark County,Ohio,1978-08-21,40.74451,-81.0758,Summer,77.0,55.2,16.4,0.0,16.1,Clear,8.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
186,Stark County,Ohio,1995-02-15,40.74065,-81.35575,Winter,42.2,20.9,100.0,0.319,5.4,"Snow, Rain, Overcast",21.9,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
187,Stark County,Ohio,2001-02-24,40.77789,-81.25768,Winter,46.3,22.1,81.4,0.012,8.4,"Snow, Rain, Partially cloudy",16.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
188,Stark County,Ohio,2010-10-22,40.90177,-81.26729,Fall,55.2,33.7,35.3,0.0,9.9,Partially cloudy,15.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
189,Stark County,Ohio,2011-09-09,40.79438,-81.31219,Summer,76.7,63.9,84.6,0.0,4.4,Partially cloudy,6.5,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
190,Summit County,Ohio,1995-01-04,41.29621,-81.5745,Summer,17.4,9.6,71.0,0.013,8.2,"Snow, Partially cloudy",17.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
191,Summit County,Ohio,1995-03-11,41.31609,-81.56152,Winter,60.7,31.9,14.6,0.0,13.0,Clear,17.3,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
192,Summit County,Ohio,1998-10-01,41.23638,-81.62379,Fall,66.3,47.3,64.7,0.0,9.9,Partially cloudy,27.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
193,Summit County,Ohio,2005-07-12,41.35208,-81.57021,Summer,90.8,73.5,70.2,0.04,8.2,"Rain, Partially cloudy",12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
194,Summit County,Ohio,2005-09-14,41.2584,-81.56255,Summer,81.5,64.3,51.2,0.062,4.7,"Rain, Partially cloudy",12.5,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
195,Summit County,Ohio,2007-12-24,41.25248,-81.60838,Winter,31.2,27.5,94.4,0.0,9.7,Overcast,26.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
197,Summit County,Ohio,2011-06-04,41.23739,-81.60576,Summer,88.3,57.9,26.5,0.0,9.5,Partially cloudy,12.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
200,Summit County,Ohio,2019-05-28,41.23925,-81.62295,Spring,82.3,64.5,63.6,0.735,9.2,"Rain, Partially cloudy",16.0,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
201,Trumbull County,Ohio,2000-02-01,41.36755,-80.76735,Winter,26.0,19.5,100.0,0.004,5.5,"Snow, Overcast",19.6,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
202,Trumbull County,Ohio,2004-08-07,41.42579,-80.89096,Summer,71.6,49.2,51.5,0.0,9.7,Partially cloudy,11.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
203,Trumbull County,Ohio,2005-03-01,39.74678,-89.34647,Spring,29.2,23.3,77.8,0.0,8.7,Partially cloudy,20.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
204,Tuscarawas County,Ohio,1988-06-15,40.62147,-81.34993,Summer,90.8,66.8,33.3,0.0,7.3,Partially cloudy,17.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
206,Tuscarawas County,Ohio,1997-05-01,40.27488,-81.51749,Unknown,72.7,43.9,88.1,0.11,12.5,"Rain, Partially cloudy",26.8,moderate: 0.1 to 0.3,Very Clear: 12.43 to 31.06,Cloudy/Overcast: 87.5 to 100
207,Tuscarawas County,Ohio,2002-10-12,40.6298,-81.5693,Fall,61.2,53.6,86.0,0.0,6.3,Partially cloudy,6.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
208,Tuscarawas County,Ohio,2007-02-28,40.20275,-81.1188,Summer,41.8,29.9,69.7,0.0,9.2,Partially cloudy,8.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
210,Vinton County,Ohio,1956-01-01,39.25109,-82.3997,Unknown,80.0,53.0,29.2,0.012,8.6,"Rain, Partially cloudy",8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
213,Vinton County,Ohio,2004-06-20,39.24523,-82.27037,Summer,71.9,47.0,0.0,0.0,9.9,Clear,9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,
214,Warren County,Ohio,2020-04-12,39.42606,-84.10463,Spring,63.8,46.4,86.5,0.258,9.1,"Rain, Partially cloudy",20.6,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
215,Warren County,Ohio,2023-02-28,39.40836,-84.10006,Winter,51.4,39.5,66.6,0.0,9.8,Partially cloudy,21.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
216,Allegany County,New York,1999-01-16,42.24542,-77.98756,Winter,33.9,12.3,89.0,0.072,7.1,"Snow, Rain, Partially cloudy",13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
219,Cattaraugus County,New York,2004-10-15,42.15947,-78.82683,Fall,57.0,45.5,93.4,0.162,7.6,"Rain, Overcast",16.2,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
220,Cattaraugus County,New York,2013-07-23,42.06832,-78.7492,Summer,78.8,62.9,76.5,0.257,8.0,"Rain, Partially cloudy",11.9,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
224,Ross County,Ohio,1980-07-01,39.49265,-83.11422,Summer,78.8,56.4,72.0,0.0,12.4,Partially cloudy,12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
