,state,latitude,season,Temperature Average,Expected Temperature,Temperature Classifications,cloud_cover,Expected Cloud Cover,Cloud Cover Classification (%),visibility,Expected Visibility,Visibility Classification (mi),precip_intensity,Expected Precipitation Intensity,Precip Intensity Groups
801,Washington,46.803,Summer,62.9,60.5,Warm: 62.5F to 75F,45.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,24.3,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
804,Washington,46.9363,Summer,68.95,60.5,Warm: 62.5F to 75F,6.9,44.8609756097561,Mostly Sunny: 6.25 to 25,37.4,12.216463414634154,Exceptionally Clear: 31.06+,0.0,0.052469512195121935,light: 0 to 0.1
805,Washington,46.94445,Summer,59.65,60.5,Mild: 50F to 62.5,12.3,44.8609756097561,Mostly Sunny: 6.25 to 25,31.5,12.216463414634154,Exceptionally Clear: 31.06+,0.0,0.052469512195121935,light: 0 to 0.1
816,Washington,48.78056,Summer,58.4,60.5,Mild: 50F to 62.5,77.9,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,7.8,12.216463414634154,Clear: 6.21 to 12.43,0.039,0.052469512195121935,light: 0 to 0.1
817,Washington,48.8178,Summer,57.55,60.5,Mild: 50F to 62.5,78.7,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,15.8,12.216463414634154,Very Clear: 12.43 to 31.06,0.004,0.052469512195121935,light: 0 to 0.1
818,Washington,48.68985,Summer,58.849999999999994,60.5,Mild: 50F to 62.5,70.8,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,13.5,12.216463414634154,Very Clear: 12.43 to 31.06,0.031,0.052469512195121935,light: 0 to 0.1
819,Washington,48.72917,Summer,64.3,60.5,Warm: 62.5F to 75F,66.2,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,21.5,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
822,Washington,48.92928,Summer,65.75,60.5,Warm: 62.5F to 75F,73.6,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,26.8,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
823,Washington,48.53944,Summer,59.25,60.5,Mild: 50F to 62.5,86.9,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,13.7,12.216463414634154,Very Clear: 12.43 to 31.06,0.145,0.052469512195121935,moderate: 0.1 to 0.3
824,Washington,48.76075,Summer,46.900000000000006,60.5,Cold: 32F to 50F,87.7,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.255,0.052469512195121935,moderate: 0.1 to 0.3
825,Washington,48.9058,Summer,72.65,60.5,Warm: 62.5F to 75F,13.5,44.8609756097561,Mostly Sunny: 6.25 to 25,14.5,12.216463414634154,Very Clear: 12.43 to 31.06,0.002,0.052469512195121935,light: 0 to 0.1
827,Washington,48.84984,Summer,65.0,60.5,Warm: 62.5F to 75F,37.2,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,13.3,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
828,Washington,48.92982,Summer,57.099999999999994,60.5,Mild: 50F to 62.5,94.8,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.5,12.216463414634154,Clear: 6.21 to 12.43,0.279,0.052469512195121935,moderate: 0.1 to 0.3
835,Washington,47.71782,Summer,61.0,60.5,Mild: 50F to 62.5,91.4,44.8609756097561,Cloudy/Overcast: 87.5 to 100,10.1,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
841,Washington,47.4645,Summer,61.3,60.5,Mild: 50F to 62.5,20.3,44.8609756097561,Mostly Sunny: 6.25 to 25,13.4,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
849,Washington,47.67304,Summer,61.4,60.5,Mild: 50F to 62.5,93.7,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
851,Washington,47.89745,Summer,68.6,60.5,Warm: 62.5F to 75F,44.1,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.093,0.052469512195121935,light: 0 to 0.1
852,Washington,47.5225,Summer,50.0,60.5,Cold: 32F to 50F,57.9,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,31.3,12.216463414634154,Exceptionally Clear: 31.06+,0.0,0.052469512195121935,light: 0 to 0.1
855,Washington,47.40667,Summer,62.55,60.5,Warm: 62.5F to 75F,30.5,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,12.7,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
856,Washington,47.5103,Summer,66.65,60.5,Warm: 62.5F to 75F,15.0,44.8609756097561,Mostly Sunny: 6.25 to 25,23.6,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
857,Washington,47.425,Summer,60.6,60.5,Mild: 50F to 62.5,18.1,44.8609756097561,Mostly Sunny: 6.25 to 25,28.3,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
864,Washington,47.41,Summer,58.55,60.5,Mild: 50F to 62.5,80.9,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,11.5,12.216463414634154,Clear: 6.21 to 12.43,0.24,0.052469512195121935,moderate: 0.1 to 0.3
866,Washington,47.4317,Summer,46.25,60.5,Cold: 32F to 50F,99.9,44.8609756097561,Cloudy/Overcast: 87.5 to 100,5.3,12.216463414634154,Light Haze: 2.48 to 6.21,0.224,0.052469512195121935,moderate: 0.1 to 0.3
868,Washington,47.6068,Summer,62.2,60.5,Mild: 50F to 62.5,66.6,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,9.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
870,Washington,47.43534,Summer,54.849999999999994,60.5,Mild: 50F to 62.5,28.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,7.7,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
872,Washington,47.13485,Summer,60.050000000000004,60.5,Mild: 50F to 62.5,10.5,44.8609756097561,Mostly Sunny: 6.25 to 25,9.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
873,Washington,47.46312,Summer,53.45,60.5,Mild: 50F to 62.5,47.2,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,8.5,12.216463414634154,Clear: 6.21 to 12.43,0.213,0.052469512195121935,moderate: 0.1 to 0.3
874,Washington,47.40245,Summer,72.9,60.5,Warm: 62.5F to 75F,1.4,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
877,Washington,47.55477,Summer,57.099999999999994,60.5,Mild: 50F to 62.5,76.9,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,7.6,12.216463414634154,Clear: 6.21 to 12.43,0.037,0.052469512195121935,light: 0 to 0.1
878,Washington,47.71167,Summer,56.199999999999996,60.5,Mild: 50F to 62.5,57.8,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,6.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
881,Washington,47.70178,Summer,65.0,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
884,Washington,47.7613,Summer,65.05,60.5,Warm: 62.5F to 75F,77.5,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,23.5,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
885,Washington,47.5279,Summer,61.5,60.5,Mild: 50F to 62.5,99.2,44.8609756097561,Cloudy/Overcast: 87.5 to 100,8.0,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
887,Washington,47.78212,Summer,57.45,60.5,Mild: 50F to 62.5,56.9,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
888,Washington,47.763,Summer,50.05,60.5,Mild: 50F to 62.5,91.8,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.0,12.216463414634154,Clear: 6.21 to 12.43,0.046,0.052469512195121935,light: 0 to 0.1
891,Washington,47.4506,Summer,65.05000000000001,60.5,Warm: 62.5F to 75F,61.1,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,8.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
892,Washington,47.52877,Summer,60.099999999999994,60.5,Mild: 50F to 62.5,64.9,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.001,0.052469512195121935,light: 0 to 0.1
894,Washington,47.25722,Summer,57.3,60.5,Mild: 50F to 62.5,52.1,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,8.5,12.216463414634154,Clear: 6.21 to 12.43,0.012,0.052469512195121935,light: 0 to 0.1
896,Washington,47.47745,Summer,70.8,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
898,Washington,47.2842,Summer,49.099999999999994,60.5,Cold: 32F to 50F,96.9,44.8609756097561,Cloudy/Overcast: 87.5 to 100,2.6,12.216463414634154,Light Haze: 2.48 to 6.21,0.945,0.052469512195121935,heavy: 0.3 to 2
903,Washington,47.38253,Summer,66.25,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
905,Washington,47.21551,Summer,56.75,60.5,Mild: 50F to 62.5,40.2,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,6.3,12.216463414634154,Clear: 6.21 to 12.43,0.074,0.052469512195121935,light: 0 to 0.1
909,Washington,45.9358,Summer,44.4,60.5,Cold: 32F to 50F,21.4,44.8609756097561,Mostly Sunny: 6.25 to 25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
911,Washington,45.96112,Summer,76.55,60.5,Hot: 75F to 100F,1.3,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
914,Washington,45.77766,Summer,72.4,60.5,Warm: 62.5F to 75F,50.6,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.7,12.216463414634154,Clear: 6.21 to 12.43,0.026,0.052469512195121935,light: 0 to 0.1
918,Washington,46.63477,Summer,65.75,60.5,Warm: 62.5F to 75F,6.0,44.8609756097561,Sunny: 0 to 6.25,36.3,12.216463414634154,Exceptionally Clear: 31.06+,0.0,0.052469512195121935,light: 0 to 0.1
919,Washington,46.50105,Summer,64.25,60.5,Warm: 62.5F to 75F,23.5,44.8609756097561,Mostly Sunny: 6.25 to 25,24.7,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
923,Washington,46.7002,Summer,65.9,60.5,Warm: 62.5F to 75F,71.6,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,16.5,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
924,Washington,46.5579,Summer,35.65,60.5,Cold: 32F to 50F,74.6,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,7.3,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
932,Washington,46.52352,Summer,65.6,60.5,Warm: 62.5F to 75F,58.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,10.2,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
933,Washington,45.4549,Summer,62.0,60.5,Mild: 50F to 62.5,11.2,44.8609756097561,Mostly Sunny: 6.25 to 25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
937,Washington,46.39019,Summer,70.35,60.5,Warm: 62.5F to 75F,21.3,44.8609756097561,Mostly Sunny: 6.25 to 25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
939,Washington,46.49406,Summer,57.75,60.5,Mild: 50F to 62.5,91.2,44.8609756097561,Cloudy/Overcast: 87.5 to 100,8.9,12.216463414634154,Clear: 6.21 to 12.43,0.452,0.052469512195121935,heavy: 0.3 to 2
941,Washington,46.68102,Summer,55.85,60.5,Mild: 50F to 62.5,63.0,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,8.5,12.216463414634154,Clear: 6.21 to 12.43,0.012,0.052469512195121935,light: 0 to 0.1
944,Washington,46.64191,Summer,59.900000000000006,60.5,Mild: 50F to 62.5,84.5,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
948,Washington,47.5958,Summer,63.9,60.5,Warm: 62.5F to 75F,74.6,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,14.0,12.216463414634154,Very Clear: 12.43 to 31.06,0.035,0.052469512195121935,light: 0 to 0.1
949,Washington,47.4028,Summer,67.35,60.5,Warm: 62.5F to 75F,23.7,44.8609756097561,Mostly Sunny: 6.25 to 25,28.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
950,Washington,47.5616,Summer,62.550000000000004,60.5,Warm: 62.5F to 75F,70.4,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,29.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
953,Washington,47.2641,Summer,66.25,60.5,Warm: 62.5F to 75F,0.1,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
955,Washington,47.23194,Summer,61.55,60.5,Mild: 50F to 62.5,48.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
962,Washington,47.46872,Summer,58.75,60.5,Mild: 50F to 62.5,68.3,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,9.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
963,Washington,47.41995,Summer,31.1,60.5,Freezing: 0 to 32F,47.1,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,7.5,12.216463414634154,Clear: 6.21 to 12.43,0.121,0.052469512195121935,moderate: 0.1 to 0.3
966,Washington,47.57132,Summer,72.25,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
967,Washington,48.9138,Summer,57.75,60.5,Mild: 50F to 62.5,86.1,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,14.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.02,0.052469512195121935,light: 0 to 0.1
970,Washington,48.32956,Summer,62.699999999999996,60.5,Warm: 62.5F to 75F,2.1,44.8609756097561,Sunny: 0 to 6.25,7.6,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
972,Washington,48.32956,Summer,65.4,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.001,0.052469512195121935,light: 0 to 0.1
977,Washington,48.57028,Summer,74.35,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
978,Washington,48.6584,Summer,67.05,60.5,Warm: 62.5F to 75F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.004,0.052469512195121935,light: 0 to 0.1
980,Washington,48.64185,Summer,73.9,60.5,Warm: 62.5F to 75F,2.3,44.8609756097561,Sunny: 0 to 6.25,9.6,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
987,Washington,48.83558,Summer,74.05,60.5,Warm: 62.5F to 75F,29.4,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,14.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
988,Washington,48.86479,Summer,71.7,60.5,Warm: 62.5F to 75F,24.4,44.8609756097561,Mostly Sunny: 6.25 to 25,14.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
991,Washington,46.951,Summer,35.150000000000006,60.5,Cold: 32F to 50F,43.6,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.008,0.052469512195121935,light: 0 to 0.1
994,Washington,47.17295,Summer,55.3,60.5,Mild: 50F to 62.5,54.8,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,8.5,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
997,Washington,47.0577,Summer,61.95,60.5,Mild: 50F to 62.5,74.6,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,14.4,12.216463414634154,Very Clear: 12.43 to 31.06,0.022,0.052469512195121935,light: 0 to 0.1
1002,Washington,46.74551,Summer,49.95,60.5,Cold: 32F to 50F,88.9,44.8609756097561,Cloudy/Overcast: 87.5 to 100,8.5,12.216463414634154,Clear: 6.21 to 12.43,0.29,0.052469512195121935,moderate: 0.1 to 0.3
1003,Washington,47.0183,Summer,53.2,60.5,Mild: 50F to 62.5,32.5,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,26.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
1005,Washington,47.1787,Summer,65.55000000000001,60.5,Warm: 62.5F to 75F,20.9,44.8609756097561,Mostly Sunny: 6.25 to 25,14.6,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
1006,Washington,46.75468,Summer,59.85,60.5,Mild: 50F to 62.5,88.3,44.8609756097561,Cloudy/Overcast: 87.5 to 100,12.9,12.216463414634154,Very Clear: 12.43 to 31.06,0.023,0.052469512195121935,light: 0 to 0.1
1007,Washington,46.88234,Summer,73.25,60.5,Warm: 62.5F to 75F,23.2,44.8609756097561,Mostly Sunny: 6.25 to 25,22.6,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
1012,Washington,47.01278,Summer,50.7,60.5,Mild: 50F to 62.5,96.4,44.8609756097561,Cloudy/Overcast: 87.5 to 100,8.1,12.216463414634154,Clear: 6.21 to 12.43,0.132,0.052469512195121935,moderate: 0.1 to 0.3
1014,Washington,46.958,Summer,55.5,60.5,Mild: 50F to 62.5,48.8,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,13.7,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
1016,Washington,47.0958,Summer,63.75,60.5,Warm: 62.5F to 75F,31.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,11.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1021,Washington,47.09685,Summer,56.6,60.5,Mild: 50F to 62.5,4.3,44.8609756097561,Sunny: 0 to 6.25,8.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1027,Washington,46.84565,Summer,61.75,60.5,Mild: 50F to 62.5,50.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,10.2,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1028,Washington,46.74621,Summer,65.8,60.5,Warm: 62.5F to 75F,0.6,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1030,Washington,47.00008,Summer,63.949999999999996,60.5,Warm: 62.5F to 75F,60.5,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,8.1,12.216463414634154,Clear: 6.21 to 12.43,0.527,0.052469512195121935,heavy: 0.3 to 2
1031,Washington,46.99857,Summer,61.199999999999996,60.5,Mild: 50F to 62.5,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1035,Washington,46.75225,Summer,59.5,60.5,Mild: 50F to 62.5,97.2,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1049,Washington,46.9805,Summer,42.55,60.5,Cold: 32F to 50F,81.3,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,6.9,12.216463414634154,Clear: 6.21 to 12.43,0.1,0.052469512195121935,light: 0 to 0.1
1051,Washington,48.36861,Summer,66.55000000000001,60.5,Warm: 62.5F to 75F,18.2,44.8609756097561,Mostly Sunny: 6.25 to 25,23.1,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
1053,Washington,48.37697,Summer,63.2,60.5,Warm: 62.5F to 75F,3.2,44.8609756097561,Sunny: 0 to 6.25,9.1,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1054,Washington,48.308,Summer,61.2,60.5,Mild: 50F to 62.5,60.2,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1057,Washington,48.56245,Summer,57.8,60.5,Mild: 50F to 62.5,91.7,44.8609756097561,Cloudy/Overcast: 87.5 to 100,9.6,12.216463414634154,Clear: 6.21 to 12.43,0.096,0.052469512195121935,light: 0 to 0.1
1062,Washington,46.04722,Summer,69.55,60.5,Warm: 62.5F to 75F,55.0,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,31.5,12.216463414634154,Exceptionally Clear: 31.06+,0.0,0.052469512195121935,light: 0 to 0.1
1063,Washington,46.0189,Summer,78.55,60.5,Hot: 75F to 100F,0.4,44.8609756097561,Sunny: 0 to 6.25,27.1,12.216463414634154,Very Clear: 12.43 to 31.06,0.0,0.052469512195121935,light: 0 to 0.1
1065,Washington,45.94002,Summer,68.0,60.5,Warm: 62.5F to 75F,54.2,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,12.0,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1068,Washington,46.10444,Summer,68.35,60.5,Warm: 62.5F to 75F,15.8,44.8609756097561,Mostly Sunny: 6.25 to 25,9.8,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1071,Washington,46.08515,Summer,69.0,60.5,Warm: 62.5F to 75F,83.5,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,10.4,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1073,Washington,46.1333,Summer,81.05,60.5,Hot: 75F to 100F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1074,Washington,45.9667,Summer,79.55000000000001,60.5,Hot: 75F to 100F,0.0,44.8609756097561,Sunny: 0 to 6.25,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1077,Washington,46.3105,Summer,47.55,60.5,Cold: 32F to 50F,74.7,44.8609756097561,Mostly Cloudy: 62.5 to 87.5,7.5,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1079,Washington,46.13795,Summer,70.9,60.5,Warm: 62.5F to 75F,21.6,44.8609756097561,Mostly Sunny: 6.25 to 25,12.3,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
1082,Washington,45.96578,Summer,67.15,60.5,Warm: 62.5F to 75F,31.7,44.8609756097561,Partly Cloudy/Sunny: 25 to 62.5,9.9,12.216463414634154,Clear: 6.21 to 12.43,0.0,0.052469512195121935,light: 0 to 0.1
